start_dt,end,duration,duration_hours,facility,facility_id,waterbody,quantity,treated,reason,county,city,status,incident_id,lat,lon,sheet
2025-05-06 07:00:00,05/06/2025 09:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-05-09 12:55:00,05/09/2025 15:45:00,170 Minutes - Ended,2.8333333333333335,NYCDEP North River WWTP,NY0026247,Hudson River,0 Gallons Actual,Untreated,Weather Conditions - Throttle at less than 2 times Design Dry Weather Flow due to mechanical issues with bar screens.,New York,NEW YORK,New,,-73.9586,40.8217,April 1 - August 31 2025
2025-05-09 13:00:00,05/09/2025 15:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-05-10 07:00:00,05/10/2025 08:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-05-14 07:00:00,05/14/2025 09:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP’s website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-05-14 12:04:00,05/14/2025 13:14:00,1:10 Hours - Ended,,NYCDEP North River WWTP,NY0026247,Please see DEP's website below.,6.2 MGD Gallons per Minute Estimated,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.958,40.8253,April 1 - August 31 2025
2025-05-14 12:04:00,05/14/2025 13:14:00,1.25 Hours - Ended,1.25,NYCDEP North River WWTP,NY0026247,Hudson River,Unknown Gallons Estimated,Untreated,Weather Conditions - Wet weather event caused excessive bar screen matting,New York,New York,Update,,-73.958,40.8232,April 1 - August 31 2025
2025-05-14 15:30:00,05/15/2025 02:29:00,10:59 Hours - Ended,,NYCDEP North River WWTP,NY0026247,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.958,40.8253,April 1 - August 31 2025
2025-05-14 15:30:00,05/15/2025 02:29:00,11 Hours - Ended,11.0,NYCDEP North River WWTP,NY0026247,Hudson River,Unknown Gallons Actual,Untreated,Weather Conditions - Wet weather event caused excessive bar screen matting,New York,New York,Update,,-73.958,40.8232,April 1 - August 31 2025
2025-05-15 07:00:00,05/15/2025 09:00:00,2 Hours - Ended,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-05-16 07:00:00,05/16/2025 09:00:00,2 Hours - Ended,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-05-16 11:00:00,05/16/2025 15:00:00,4 Hours - Ended,4.0,NYCDEP 26th Ward WWTP,NY0026212,Spring Creek,750 Gallons Estimated,Untreated,Unknown - Sanitary discharge from a DSNY facility was observed to the marsh area adjacent to Spring Creek and is under investigation.,New York,Brooklyn,New,,-73.8598,40.6614,April 1 - August 31 2025
2025-05-17 07:00:00,05/17/2025 08:00:00,2 hours Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-05-22 07:00:00,05/22/2025 09:00:00,2 Hours - Ended,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Unknown,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,,-73.9245,40.7244,April 1 - August 31 2025
2025-05-24 11:00:00,05/24/2025 12:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-05-24 14:30:00,05/24/2025 14:30:00,0 Hours - Ended,0.0,NYCDEP North River WWTP,NY0026247,Hudson River,0 Gallons Estimated,Partially Treated without Disinfection,"Pipe Break - Upon further evaluation, it was determined that there wasn't a sludge spill into the Hudson River due to a small explosion onboard a marine vessel used to transport sewage sludge, which was docked at the North River WRRF.",New York,"New York, NY",Update,,-73.958,40.8253,April 1 - August 31 2025
2025-05-24 14:30:00,05/24/2025 18:35:29,2 Hours - Ongoing,2.0,NYCDEP North River WWTP,NY0026247,Hudson River,Unknown Gallons Estimated,Partially Treated without Disinfection,"Pipe Break - A possible sludge spill to the Hudson River may have occurred due to a small explosion onboard a marine vessel used to transport sewage sludge, which was docked at the North River WRRF.",New York,"New York, NY",New,,-73.958,40.8253,April 1 - August 31 2025
2025-05-25 11:00:00,05/25/2025 12:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-05-29 11:00:00,05/29/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-05-30 11:00:00,05/30/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP’s website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-05-31 11:00:00,05/31/2025 12:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-01 11:00:00,06/01/2025 12:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-07 17:00:00,06/07/2025 18:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-08 11:00:00,06/08/2025 12:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below.,0 Gallons per Minute Actual,Untreated,Weather Conditions - Rain Condition,New York,Please see DEP's website below.,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-06-09 11:00:00,06/09/2025 13:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP’s website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
